Career Cluster,School District,High School,HS Course Name,HS Course Credits,HS Course Description,Type of Credit,HS Course CIP Code,College,College Course,College Course Name,College Credits,College Course Description,Applicable College Program,College Course CIP Code,Academic Years,Status of Articulation,Articulation,High School Teacher Name,Consortium Name
STEM,Skagit Valley,Mount Vernon High School,Empowering Your Future CTB104 [Computer App Essentials],3.0,"Introduces students to fundamental computer skills necessary for academic and professional success. The course covers essential software applications, including word processing, spreadsheets, and presentations, while emphasizing digital literacy, problem-solving, and productivity tools. Students will develop practical skills to efficiently use technology in everyday tasks and enhance their ability to communicate and collaborate in a digital world.",CTE Dual Enrollment,110201,Skagit Valley College,INFO 101,Computer Application Essentials,5.0,"Provides students with foundational knowledge and skills in using essential computer software applications. The course covers key areas such as word processing, spreadsheets, and presentation software, along with an introduction to digital literacy, file management, and internet research. Students will develop practical, hands-on experience to enhance productivity and efficiency in academic, professional, and personal tasks.",Computer Science,11.0201,2025-2026,Active,Computer Application Essentials (Empowering Your Future),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Mount Vernon High School,AP Computer Science Principles A [Computer Science],3.0,"Focuses on the foundational principles of computer science, including algorithms, programming, and problem-solving with a focus on digital technology's impact on society.",CTE Dual Credit,110701,Everett Community College,SOFT 101,Introduction to Information Technology [Computer Science],5.0,"Introduces students to the fundamentals of information technology, including computer hardware, software, networks, and basic problem-solving techniques in IT.",Data Management and Analytics,11.0201,2025-2026,Pending,Computer Science,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Ferndale High School,Culinary Essentials 1 [Cul Arts I],1.0,"Introduces students to the basics of cooking, including knife skills, kitchen safety, food preparation, and cooking techniques in a hands-on culinary environment",Running Start,120500,Skagit Valley College,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,5.0,"Provides an introduction to culinary arts, covering essential kitchen techniques, food safety, and basic cooking methods for a professional culinary environment.",Culinary Arts,12.05,2024-2026,Pending,Culinary Arts I Intro Fundamentals to Culinary Arts,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Mount Vernon High School,Culinary Essentials 3 [Cul Arts III],1.0,"Focuses on advanced culinary skills, professional kitchen management, and preparing complex dishes while continuing to build on prior culinary knowledge.",CTE Dual Credit,120503,Everett Community College,CARTS 105,Culinary Arts III - Garde Manger I,5.0,"Focuses on advanced cold food preparation, including salads, dressings, pâtés, and hors d'oeuvres, with an emphasis on presentation and professional kitchen practices.",Culinary Arts,12.05,2025-2026,Pending,Culinary Arts III Garde Manger I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Bellingham,Mount Vernon High School,Culinary Essentials 2 [Intro to Baking],1.0,"Introduces students to the basics of baking, including the preparation of breads, pastries, and desserts, with an emphasis on measurement, techniques, and recipe development.",College in the High School,120500,Bellingham Technical College,CARTS 111,Introduction to Baking,5.0,"Covers the fundamentals of baking, including techniques for preparing breads, pastries, cakes, and desserts, with a focus on ingredients and baking methods.",Culinary Arts,12.0501,2025-2026,Active,Introduction to Baking (CARTS111),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Sequoia High School,Computer Programming 1 [Intro to Programming] // Computer Programming 2 [Intro to Programming],3.0,"Introduces students to computer programming concepts, logic, and basic coding techniques using a beginner-friendly programming language.",CTE Dual Credit,110701,Skagit Valley College,SOFT 102,Introduction to Programming,5.0,"Introduces students to the basics of programming, focusing on problem-solving techniques, programming logic, and fundamental coding principles using a beginner-friendly language.",Computer Science,11.0201,2024-2026,Pending,Introduction to Programming,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Skagit Valley,Sequoia High School,Video Prod 1 (CTT103) // Video Prod 2 (CTT163),2.0,"Covers the basics of video production, including filming, editing, and post-production, with a focus on storytelling and creative techniques for visual media.",CTE Dual Credit,100202,Skagit Valley College,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),5.0,"Teaches the basics of digital video editing, including cutting, arranging, and enhancing video footage using industry-standard software and techniques.",Visual Arts,50.0102,2024-2026,Pending,Introduction to Video Production,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Everett,Port Townsend High School,Human Body Systems A CTF221 [Med Term I] // Human Body Systems B CTF222 [Med Term II],2.0,"Introduces the study of human anatomy and physiology, focusing on medical terminology related to the body’s systems and common health conditions.",CTE Dual Credit,510799,Everett Community College,AMA 117,Medical Terminology I,3.0,"Introduces medical terminology, focusing on the vocabulary used in healthcare settings, including terms related to anatomy, diseases, and medical procedures.",Nursing,51.3801,2025-2026,Active,Medical Terminology I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Everett,Port Townsend High School,Human Body Systems B CTF222 [Med Term II],2.0,"Builds on Medical Terminology I, further exploring the body’s systems, diseases, and medical practices, emphasizing the language used in healthcare settings.",CTE Dual Credit,510799,Everett Community College,AMA 121/128,Medical Terminology II,5.0,"Expands on Medical Terminology I, covering more complex terms related to body systems, medical conditions, treatments, and clinical procedures.",Nursing,51.3801,2025-2026,Active,Medical Terminology II,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Oak Harbor High School,Small Engines/Power Sports 1A [PSE Maintenance] // Small Engines/Power Sports 1B [PSE Maintenance],1.0,"Focuses on the fundamentals of small engine maintenance, including diagnostics, repairs, and basic troubleshooting techniques for small engines and power sports equipment.",Running Start,470611,Skagit Valley College,POW 102,Power Sports and Equipment: Maintenance,3.0,"Teaches the maintenance and repair of power sports equipment, including motorized vehicles, with an emphasis on troubleshooting and basic mechanical skills.",Automotive Technology,49.0202,2025-2026,Active,Power Sports & Equipment: Maintenance,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Oak Harbor High School,Small Engines/Power Sports 2A [PSE Tools/Equipment] // Small Engines/Power Sports 2B [PSE Tools/Equipment],1.0,"Introduces students to the use and care of tools and equipment in small engine repair, along with advanced techniques for maintaining and restoring power sports machinery.",CTE Dual Credit,470611,Skagit Valley College,POW 101/856,Power Sports and Equipment: Tools and Equipment,5.0,"Introduces students to the tools and equipment used in the maintenance and repair of power sports machinery, focusing on safe tool handling and proper maintenance procedures.",Automotive Technology,49.0202,2024-2026,Pending,Power Sports & Equipment: Tools and Equipment,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Oak Harbor High School,Engineering Essentials A CTM101 [Two Dimensional Fundamentals] // Engineering Essentials B CTM102 [Two Dimensional Fundamentals],1.0,"Provides a foundation in engineering concepts with a focus on two-dimensional drafting, design, and the principles behind technical drawings and blueprints",CTE Dual Credit,151301,Skagit Valley College,ENGR& 111,Two Dimensional Fundamentals,5.0,"Introduces the basics of engineering design, focusing on creating technical drawings, blueprints, and 2D representations used in engineering and architecture.",Engineering,15.1301,2025-2026,Pending,Two Dimensional Fundamentals,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Oak Harbor High School,Culinary Essentials 1A [Cul Arts I] // Culinary Essentials 1B [Cul Arts I],2.0,"Provides an introduction to basic culinary techniques, kitchen safety, and the fundamentals of food preparation, with hands-on experience in the kitchen.",College in the High School,120500,Everett Community College,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,3.0,"Provides an introduction to culinary arts, covering essential kitchen techniques, food safety, and basic cooking methods in a professional kitchen setting.",Culinary Arts,12.05,2024-2026,Pending,Culinary Arts I Intro Fundamentals to Culinary Arts,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Anacortes High School,Culinary Arts 2 [Intro to Baking],2.0,"An advanced exploration of baking, focusing on pastry making, cake decoration, and advanced baking techniques for breads, desserts, and more.",CiHS,120500,Skagit Valley College,CARTS 111,Introduction to Baking,5.0,"Teaches the basics of baking, including breads, pastries, cakes, and desserts, emphasizing ingredients, techniques, and baking science.",Culinary Arts,12.0501,2024-2026,Active,Introduction to Baking,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Anacortes High School,Computer Programming 1a [Intro to Prog] // Computer Programming 1b [Intro to Prog],1.0,"Introduces students to the basics of computer programming, including logical thinking, coding principles, and the use of introductory programming languages.",CTE Dual Credit,110201,Everett Community College,SOFT 102,Introduction to Programming,5.0,"Introduces students to programming, focusing on basic coding techniques, problem-solving, and the fundamentals of writing and debugging programs.",Computer Science,11.0201,2024-2026,Active,Introduction to Programming,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Everett,Anacortes High School,Medical Terminology A VCTF234 // Medical Terminology B VCTF235,1.0,"Focuses on understanding and applying medical terminology related to the human body, including the structure, functions, and medical conditions of various systems.",CTE Dual Credit,510799,Everett Community College,AMA 117,Medical Terminology I,5.0,"Teaches foundational medical terminology related to anatomy, diseases, and clinical procedures commonly encountered in healthcare.",Nursing,51.3801,2024-2026,Pending,Medical Terminology I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Mount Vernon High School,Core Plus Aerospace I TAE623 // Core Plus Aerospace I TAE624,1.0,"Introduces students to the basics of aerospace engineering, including the principles of flight, aircraft systems, and aerospace technology.",CTE Dual Credit,149998,Everett Community College,MACH 119 (IMMA 101/APM 103/PMF 202),BluePrint Reading (youth apprenticeship),3.0,"Focuses on reading and interpreting blueprints used in manufacturing and construction, preparing students to work with technical drawings in industrial settings.",Engineering,15.1301,2025-2026,Pending,BluePrint Reading Youth Apprenticeship,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Mount Vernon High School,Careers with Children - FCS726 [Child Care Basics],1.0,"Introduces students to the fundamentals of child care, focusing on developmental stages, caregiving practices, and understanding children’s needs in early education settings.",Running Start,190708,Edmonds Community College,ECED& 100,Child Care Basics,5.0,"Introduces students to the basics of early childhood education, focusing on child development, caregiving, and creating a safe and stimulating learning environment.",Early Childhood Education,13.121,2025-2026,Active,Child Care Basics (ECED&100),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Mount Vernon High School,Microsoft Office - BAM725 [Computer Applications Essentials],3.0,"Teaches essential skills for using Microsoft Office applications, including Word, Excel, PowerPoint, and Access, with a focus on productivity and organizational tools.",CTE Dual Credit,110901,Skagit Valley College,INFO 101,Computer Application Essentials,5.0,"Teaches essential computer skills, including proficiency in productivity software like word processors, spreadsheets, and presentation tools, to enhance workplace and academic performance.",Computer Science,11.0201,2025-2026,Active,Computer Application Essentials [INFO 101],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Mount Vernon High School,Culinary Arts I FCS630 [Cul Arts I],2.0,"Provides a comprehensive introduction to the culinary arts, including cooking techniques, food safety, nutrition, and kitchen operations in a professional environment.",CTE Dual Credit,120500,Skagit Valley College,CARTS 101,Culinary Arts I - Intro Fundamentals to Culinary Arts,5.0,"Provides an introduction to the basics of culinary arts, focusing on foundational cooking techniques, kitchen safety, and food preparation.",Culinary Arts,12.05,2025-2026,Pending,Culinary Arts I Intro Fundamentals to Culinary Arts,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Sequoia High School,Culinary 2 [Culinary Arts II],1.0,"Builds on Culinary Arts I, focusing on advanced culinary techniques, menu planning, and kitchen management, along with the preparation of a wider variety of dishes.",CiHS,120500,Skagit Valley College,CARTS 106,Culinary Arts II - Breakfast Methods,5.0,"Focuses on the preparation of breakfast dishes, including cooking eggs, meats, pancakes, waffles, and creating a variety of breakfast menu items.",Culinary Arts,12.05,2024-2027,Active,Culinary Arts II Breakfast Methods,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Mount Vernon High School,Culinary 2 FCS635 [Culinary Arts III],1.0,"Focuses on mastering advanced cooking methods, creating complex dishes, and developing professional kitchen skills and time management.",CTE Dual Credit,120503,Skagit Valley College,CARTS 105,Culinary Arts III - Garde Manger I,5.0,"Advanced study of cold food preparation techniques, including the art of garnishing, presentation, and preparing cold appetizers and dishes.",Culinary Arts,12.05,2024-2027,Active,Culinary Arts III Garde Manger I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Skagit Valley,Anacortes High School,Careers with Children - FCS726 [ECE Practicum grade P-3],3.0,"Provides hands-on experience working with young children in educational settings, focusing on early childhood education and child development principles.",Running Start,190708,Skagit Valley College,ECED& 120,Early Childhood Education Practicum (grades Pre-3),5.0,"Provides hands-on experience in early childhood education settings for children from birth to age 3, allowing students to apply theory and observe child development in real-world environments.",Early Childhood Education,13.121,2024-2027,Pending,Early Childhood Education Practicum - Nurturing Relationships (grades pre natal-3)  [ECED& 120],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Blaine High School,Child Care Practicum I [ECE Practicum Grades Prenatal-3] // Child Care Practicum II [ECE Practicum Grades Prenatal-3],2.0,"Provides hands-on experience in early childhood education, focusing on the care and development of children from prenatal to age 3 in real-world settings.",CTE Dual Credit,190708,Everett Community College,ECED& 120,Early Childhood Education Practicum (grades Pre-3),3.0,"Provides hands-on experience in early childhood education settings, focusing on the care and education of children from birth to age 3, allowing students to apply theories and techniques in real-world classrooms.",Early Childhood Education,13.121,2024-2027,Pending,Early Childhood Education Practicum Grades Pre-3,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Ferndale High School,"Careers with Children - FCS726 [Health, Safety and Nutrition]",1.0,"Teaches the fundamentals of child health, safety, and nutrition, preparing students to support healthy development and well-being in early childhood settings.",Running Start,190708,Everett Community College,ECED&107,"Health, Safety and Nutrition",5.0,"Covers essential health, safety, and nutrition topics for young children, including proper care practices, emergency procedures, and promoting healthy eating habits in early childhood environments.",Early Childhood Education,13.1307,2024-2027,Pending,"Health, Nutrition, and Safety (ECED&107)",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Blaine High School,Child Care Practicum II FCS733/FCS734 [Infant and Toddler Care] // Child Care Practicum III FCS7365/FCS736 [Infant and Toddler Care],1.0,"Focuses on the care and development of infants and toddlers, providing practical experience in handling children in this age group and applying early childhood education principles.",CTE Dual Credit,190708,Everett Community College,ECED& 132,Infant and Toddler Care,3.0,"Focuses on the development and care of infants and toddlers, including child development theories, creating nurturing environments, and implementing age-appropriate caregiving practices.",Early Childhood Education,13.121,2024-2026,Pending,Infant and Toddler Care,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Squalicum High School,Culinary Arts 3 FCS639 [Intro to Baking] // Culinary Arts 3 FCS640 [Intro to Baking],1.0,"Introduces students to the art of baking, covering essential techniques in pastry making, bread baking, and dessert preparation with hands-on practice.",CTE Dual Credit,120500,Everett Community College,CARTS 111,Introduction to Baking,5.0,"Introduces students to the fundamentals of baking, including techniques for preparing breads, pastries, cakes, and desserts, with a focus on ingredients, measurements, and baking methods.",Culinary Arts,12.0501,2024-2026,Pending,Introduction to Baking,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Everett,Friday Harbor High School,Careers with Children - FCS726 [Intro to Early Childhood Ed],1.0,"Introduces students to the field of early childhood education, covering basic principles of child development and the role of educators in supporting young children.",CTE Dual Credit,190708,Everett Community College,ECED& 105,Introduction to Early Childhood Education,5.0,"Provides an overview of early childhood education, exploring child development, effective teaching strategies, and the role of educators in fostering a supportive learning environment.",Early Childhood Education,13.121,2023-2024,Expired,Introduction to Early Childhood Education [ECED& 105],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Squalicum High School,Intro to Video Game Dsn I BAM681 [Intro to Programming],3.0,"Introduces students to programming concepts and video game design, teaching the basics of coding and game development using industry-standard tools.",CTE Dual Credit,110201,Bellingham Technical College,SOFT 102,Introduction to Programming,5.0,"Introduces students to programming concepts, focusing on logic, algorithms, and coding in a beginner-friendly programming language to develop problem-solving skills.",Computer Science,11.0201,2025-2026,Active,Introduction to Programming (hs class: Intro to Video Game Dsn),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Squalicum High School,Video Production I TAE731 [Intro to Video Production],3.0,"Provides an introduction to video production, including filming techniques, editing, and the fundamentals of creating a professional video project.",College in the High School,100202,Bellingham Technical College,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),5.0,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",Visual Arts,50.0102,2025-2026,Active,Introduction to Video Production,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Squalicum High School,Intro to Engineering Dsn TAE611 [Two Dim Fund] // Intro to Engineering Dsn TAE612 [Two Dim Fund],3.0,"Introduces students to engineering design principles, focusing on two-dimensional drafting techniques and the basics of creating technical drawings and designs.",CTE Dual Credit,151302,Bellingham Technical College,ENGR& 111,Two Dimensional Fundamentals,5.0,"Introduces students to the basics of technical drawing, including 2D drafting, blueprint reading, and the use of design software for creating engineering drawings.",Engineering,15.1301,2025-2026,Active,Two Dimensional Fundamentals,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Squalicum High School,Woods Technology IND100 [Cabinet/Millwork I] // Woods Technology IND111 [Cabinet/Millwork I],1.0,"Introduces the basics of woodworking and cabinet making, focusing on tools, materials, and techniques required for creating wood projects and furniture.",CiHS,460201,San Juan College,ARWC 104,Cabinet/Millwork I Materials,5.0,"Focuses on the materials used in cabinet making and millwork, including wood types, finishes, and tools, as well as techniques for constructing cabinetry and other wood projects.",Advanced Manufacturing And Design,46.0201,2024-2027,Pending,Cabinet/Millwork I Materials,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Mount Vernon High School, Core Plus Construction A [Carpentry] // Core Plus Construction B [Carpentry],1.0,"Introduces students to carpentry, focusing on building techniques, construction materials, and tools used in residential and commercial construction projects.",Running Start,460201,San Juan College,"CARPT: 101, 102, 103, 104",Carpentry,5.0,"A series of courses that cover the fundamentals of carpentry, from tools and materials to advanced construction techniques, focusing on residential and commercial carpentry projects.",Advanced Manufacturing And Design,46.0201,2024-2027,Active,Carpentry,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Skagit Valley,Sedro-Woolley High School,Film Cinematography 2 A - TEC130 // IB Film Cinematography 2 B - TEC135,1.0,"Provides advanced cinematography skills, focusing on techniques for capturing high-quality film visuals, lighting, camera operation, and storytelling through film.",CTE Dual Credit,100202,Skagit Valley College,BROAD 142,Basic Digital Video Editing (Intro to Video Prod),1.0,"Teaches the basics of video editing using industry-standard software, covering techniques for cutting, arranging, and enhancing video footage for professional-quality productions.",Visual Arts,50.0102,2024-2027,Active,Introduction to Video Production,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Sedro-Woolley High School,AJAC - Tech Drawing [BluePrint Reading Youth Apprent],3.0,"Teaches students how to read and understand blueprints, focusing on technical drawings used in manufacturing, construction, and engineering fields.",CTE Dual Credit,151302,Skagit Valley College,MACH 119 (IMMA 101/APM 103/PMF 202),BluePrint Reading (youth apprenticeship),5.0,"Teaches students how to read and interpret blueprints, focusing on technical drawings used in manufacturing and construction, essential for the youth apprenticeship program in the trades.",Engineering,15.1301,2024-2027,Active,BluePrint Reading (Youth Apprenticeship),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Bellingham,Blaine High School,AJAC - Prec Mach I [Production Technician Youth Apprent] // AJAC - Prec Mach II [Production Technician Youth Apprent],1.0,"Introduces students to precision machining, including the operation of machines, blueprint interpretation, and the production of mechanical parts.",CTE Dual Credit,151302,Bellingham Technical College,"APM 101, APM 102, APM 103",Production Technician (youth apprenticeship),5.0,"A series of courses focused on developing skills for production technicians, covering industrial processes, machinery, safety protocols, and technical skills required for youth apprenticeships in manufacturing.",Advanced Manufacturing And Design,15.0612,2024-2027,Active,Production Technician (Youth Apprenticeship),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
